order_id,order_date,ship_date,customer_id,product_id,quantity,discount,sales,cost,profit
ORD-000001,2024-08-08,2024-08-14,CUST-00343,PROD-00006,4,0.05,1973.04,1392.88,580.16
ORD-000002,2024-02-05,2024-02-07,CUST-00442,PROD-00173,3,0.0,803.34,663.21,140.13
ORD-000003,2025-02-21,2025-02-26,CUST-00177,PROD-00193,7,0.15,1500.17,933.17,567.0
ORD-000004,2024-08-24,2024-08-30,CUST-00307,PROD-00101,7,0.05,3696.14,2199.54,1496.6
ORD-000005,2025-09-24,2025-09-30,CUST-00594,PROD-00128,3,0.0,1167.27,919.08,248.19
ORD-000006,2024-02-26,2024-03-01,CUST-00133,PROD-00137,4,0.0,408.72,248.12,160.6
ORD-000007,2024-07-02,2024-07-05,CUST-00253,PROD-00038,3,0.3,30.81,27.03,3.78
ORD-000008,2025-07-07,2025-07-08,CUST-00046,PROD-00198,6,0.1,3281.26,2066.46,1214.8
ORD-000009,2025-03-17,2025-03-23,CUST-00245,PROD-00209,7,0.0,3191.65,2433.34,758.31
ORD-000010,2024-02-19,2024-02-20,CUST-00405,PROD-00001,1,0.05,38.43,21.4,17.03
ORD-000011,2025-11-03,2025-11-06,CUST-00581,PROD-00030,3,0.15,455.97,437.52,18.45
ORD-000012,2025-11-03,2025-11-07,CUST-00492,PROD-00059,7,0.0,763.28,523.81,239.47
ORD-000013,2024-09-28,2024-10-03,CUST-00311,PROD-00044,3,0.0,1600.41,890.55,709.86
ORD-000014,2024-10-06,2024-10-11,CUST-00438,PROD-00176,6,0.05,2352.62,1810.32,542.3
ORD-000015,2025-12-26,2025-12-29,CUST-00122,PROD-00144,4,0.1,574.78,361.04,213.74
ORD-000016,2025-04-07,2025-04-10,CUST-00045,PROD-00119,3,0.1,1772.63,1191.09,581.54
ORD-000017,2025-01-24,2025-01-27,CUST-00519,PROD-00190,2,0.0,569.8,484.92,84.88
ORD-000018,2025-10-05,2025-10-07,CUST-00302,PROD-00020,6,0.1,1198.1,820.38,377.72
ORD-000019,2024-08-25,2024-08-29,CUST-00570,PROD-00167,4,0.0,747.04,439.92,307.12
ORD-000020,2024-11-27,2024-11-30,CUST-00565,PROD-00213,2,0.1,505.44,455.38,50.06
ORD-000021,2024-08-11,2024-08-17,CUST-00320,PROD-00137,1,0.0,102.18,62.03,40.15
ORD-000022,2025-08-28,2025-09-01,CUST-00065,PROD-00002,4,0.0,1769.96,1500.6,269.36
