product_id,product_name,category,revenue,profit,cum_revenue,cum_pct,abc_class
PROD-00062,Accessorie Ball 62,Technology,115723.62,45842.82,115723.62,1.1201999932360314,A
PROD-00056,Binder Soldier 56,Office Supplies,115174.04,39611.04,230897.65999999997,2.2350800741474854,A
PROD-00069,Machine Time 69,Technology,113377.45,43914.7,344275.11,3.3325692360240198,A
PROD-00121,Label Success 121,Office Supplies,113290.24,40465.66,457565.35,4.429214208603588,A
PROD-00212,Phone Central 212,Technology,112625.43,36231.23,570190.78,5.519423847087116,A
PROD-00147,Machine Cause 147,Technology,110477.05,45383.0,680667.8300000001,6.588837253466356,A
PROD-00134,Storage Improve 134,Office Supplies,106598.6,26051.0,787266.43,7.620707419634424,A
PROD-00016,Phone Through 16,Technology,104026.87,38060.13,891293.3,8.627683342703245,A
PROD-00023,Binder Beyond 23,Office Supplies,103409.83,30051.43,994703.13,9.62868634335721,A
PROD-00217,Paper Thought 217,Office Supplies,101343.32,33322.27,1096046.45,10.609685610218348,A
PROD-00195,Table Know 195,Furniture,100757.84,35282.15,1196804.29,11.585017454196935,A
PROD-00071,Binder Research 71,Office Supplies,100699.41,38009.01,1297503.7,12.559783698122523,A
PROD-00218,Phone Pressure 218,Technology,100639.34,35888.78,1398143.04,13.533968466860996,A
PROD-00018,Art Quite 18,Office Supplies,96345.77,35932.97,1494488.81,14.466591650462753,A
PROD-00166,Machine Treat 166,Technology,95863.17,23334.170000000002,1590351.98,15.394543285449497,A
PROD-00042,Paper Fast 42,Office Supplies,94037.6,32538.8,1684389.58,16.304823476165385,A
PROD-00010,Table Public 10,Furniture,93566.21,14499.84,1777955.79,17.21054063061597,A
PROD-00044,Storage Of 44,Office Supplies,91730.2,36219.25,1869685.99,18.09848528201505,A
PROD-00203,Art Employee 203,Office Supplies,89984.09,33008.79,1959670.08,18.96952765875154,A
PROD-00211,Art Both 211,Office Supplies,89478.25,33207.14,2049148.33,19.835673524606516,A
PROD-00074,Copier Glass 74,Technology,88627.54,28099.48,2137775.87,20.693584551832643,A
PROD-00072,Copier Watch 72,Technology,88594.01,19516.61,2226369.88,21.551171010005596,A
PROD-00150,Storage Lawyer 150,Office Supplies,87829.17,14388.81,2314199.05,22.401353847700495,A
PROD-00186,Art Exist 186,Office Supplies,87669.87,27416.670000000002,2401868.92,23.249994667794127,A
